"","id","num","neg.score","neg.p.value","neg.fdr","neg.rank","neg.goodsgrna","neg.lfc","pos.score","pos.p.value","pos.fdr","pos.rank","pos.goodsgrna","pos.lfc"
"1","VHL",3,0.001555,4.9976e-06,2.6e-05,1,3,-0.29031,0.99845,1,1,25,0,-0.29031
"2","CSF1R",3,0.0067539,4.9976e-06,2.6e-05,2,3,-0.2083,0.99325,1,1,24,0,-0.2083
"3","INPP5D",3,0.011483,4.9976e-06,2.6e-05,3,3,-0.26997,0.98852,1,1,23,0,-0.26997
"4","WASF2",2,0.045546,4.9976e-06,2.6e-05,4,2,-0.19786,0.95445,1,1,22,0,-0.19786
"5","NCKAP1L",3,0.051459,4.9976e-06,2.6e-05,5,3,-0.17128,0.94854,1,1,21,0,-0.17128
"6","ASCL1",3,0.14276,0.0019441,0.003175,6,2,-0.1711,0.72227,0.94863,1,17,0,-0.1711
"7","CXCR4",3,0.18802,0.0019441,0.003175,7,2,-0.077586,0.76642,0.98471,1,18,0,-0.077586
"8","CDK2",3,0.26197,0.0019441,0.003175,8,2,-0.16964,0.67288,0.94863,1,15,0,-0.16964
"9","LRP1",3,0.29515,0.0019541,0.003175,9,2,-0.12667,0.85071,0.99805,1,19,0,-0.12667
"10","MS4A6A",3,0.33706,0.0019541,0.003175,10,1,-0.071089,0.6552,0.94862,1,14,0,-0.071089
"11","GBA",3,0.34674,0.0019541,0.003175,11,2,-0.095067,0.86077,0.99806,1,20,0,-0.095067
"12","CTSL",3,0.36434,0.0019541,0.003175,12,2,-0.090295,0.41705,0.75669,1,7,0,-0.090295
"13","ABI3",3,0.38209,0.0019541,0.003175,13,2,-0.098861,0.61796,0.94862,1,12,0,-0.098861
"14","CHI3L1",3,0.39115,0.0019541,0.003175,14,1,-0.012922,0.51333,0.87542,1,9,0,-0.012922
"15","ADAM10",3,0.39999,0.0019541,0.003175,15,2,-0.11136,0.55721,0.87543,1,10,0,-0.11136
"16","MAPT",3,0.41705,0.0019541,0.003175,16,1,-0.087431,0.57813,0.87543,1,11,0,-0.087431
"17","PTK2B",3,0.47257,0.043404,0.053751,17,2,-0.091108,0.6369,0.94862,1,13,0,-0.091108
"18","C5AR1",3,0.49085,0.043404,0.053751,18,2,-0.092894,0.44221,0.7567,1,8,0,-0.092894
"19","ABCA7",3,0.57813,0.043404,0.053751,19,1,0.051669,0.15576,4.9976e-06,2.2e-05,3,1,0.051669
"20","LRRK2",3,0.59837,0.043404,0.053751,20,1,-0.064464,0.18802,4.9976e-06,2.2e-05,4,1,-0.064464
"21","ABI1",3,0.84018,0.043414,0.053751,21,1,-0.083628,0.68995,0.94863,1,16,0,-0.083628
"22","MS4A4A",3,0.90436,0.32796,0.387586,22,0,-0.052868,0.25006,4.9976e-06,2.2e-05,6,0,-0.052868
"23","CTSB",3,0.93774,0.57581,0.650914,23,0,-0.055856,0.21945,4.9976e-06,2.2e-05,5,1,-0.055856
"24","PLCG2",3,0.99185,0.87218,0.944858,24,0,0.056968,0.088703,4.9976e-06,2.2e-05,2,1,0.056968
"25","TREM2",3,0.99992,1,1,25,0,0.63022,7.7761e-05,4.9976e-06,2.2e-05,1,3,0.63022
