sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
TREM2_gRNA1	TREM2	70537/59570	1.2138e+05/1.1908e+05	65053	1.2023e+05	0.88614	6.0135e+07	3.1703e+07	9.8002	1	5.6168e-23	1.1234e-22	9.324e-21	True
TREM2_gRNA3	TREM2	56888/49290	70190/94154	53089	82172	0.63022	2.8863e+07	2.3708e+07	5.9729	1	1.1654e-09	2.3308e-09	9.6726e-08	True
VHL_gRNA2	VHL	2.2261e+05/2.5125e+05	1.8325e+05/1.8177e+05	2.3693e+05	1.8251e+05	-0.37646	4.1026e+08	2.013e+08	3.8354	6.2683e-05	0.99994	0.00012537	0.0034685	False
CSF1R_gRNA3	CSF1R	2.2227e+05/1.7672e+05	1.7179e+05/1.4002e+05	1.995e+05	1.559e+05	-0.35571	1.0375e+09	1.5741e+08	3.4745	0.00025588	0.99974	0.00051176	0.010619	False
INPP5D_gRNA3	INPP5D	99717/92995	84992/64540	96356	74766	-0.36599	2.2595e+07	5.5598e+07	2.8955	0.0018926	0.99811	0.0037852	0.062834	False
NCKAP1L_gRNA3	NCKAP1L	2.1548e+05/1.9104e+05	1.8926e+05/1.4615e+05	2.0326e+05	1.677e+05	-0.27739	2.9873e+08	1.6167e+08	2.7961	0.0025861	0.99741	0.0051721	0.071547	False
VHL_gRNA3	VHL	80382/84834	75295/59807	82608	67551	-0.29031	9.9084e+06	4.4612e+07	2.2544	0.012087	0.98791	0.024174	0.26343	False
CXCR4_gRNA2	CXCR4	3.0129e+05/2.5187e+05	2.5076e+05/2.316e+05	2.7658e+05	2.4118e+05	-0.19757	1.221e+09	2.5117e+08	2.2335	0.012758	0.98724	0.025516	0.26343	False
INPP5D_gRNA2	INPP5D	80240/1.0306e+05	75397/76623	91651	76010	-0.26997	2.6045e+08	5.1757e+07	2.1742	0.014846	0.98515	0.029692	0.26343	False
PLCG2_gRNA3	PLCG2	1.0433e+05/1.0004e+05	1.2628e+05/1.1065e+05	1.0218e+05	1.1846e+05	0.21329	9.1791e+06	6.0468e+07	2.0937	0.98186	0.018142	0.036284	0.26343	True
WASF2_gRNA3	WASF2	1.0138e+05/1.0766e+05	99119/77249	1.0452e+05	88184	-0.24514	1.972e+07	6.2451e+07	2.0667	0.019381	0.98062	0.038762	0.26343	False
CDK2_gRNA1	CDK2	1.5078e+05/1.4626e+05	1.4131e+05/1.141e+05	1.4852e+05	1.2771e+05	-0.21785	1.0232e+07	1.0322e+08	2.0489	0.020236	0.97976	0.040472	0.26343	False
VHL_gRNA1	VHL	1.1255e+05/1.2404e+05	1.1252e+05/89276	1.183e+05	1.009e+05	-0.22954	6.5963e+07	7.4552e+07	2.0153	0.021936	0.97806	0.043873	0.26343	False
MS4A6A_gRNA3	MS4A6A	1.4513e+05/1.1289e+05	1.2504e+05/96040	1.2901e+05	1.1054e+05	-0.22285	5.1981e+08	8.4389e+07	2.01	0.022217	0.97778	0.044433	0.26343	False
CSF1R_gRNA2	CSF1R	1.4408e+05/1.2592e+05	1.2475e+05/1.0895e+05	1.35e+05	1.1685e+05	-0.2083	1.6485e+08	9.0049e+07	1.9126	0.027901	0.9721	0.055801	0.3041	False
CHI3L1_gRNA2	CHI3L1	89085/74114	70131/68033	81600	69082	-0.24024	1.1206e+08	4.3835e+07	1.8906	0.02934	0.97066	0.058679	0.3041	False
MAPT_gRNA3	MAPT	1.1977e+05/1.1704e+05	97201/1.074e+05	1.1841e+05	1.023e+05	-0.21095	3.7431e+06	7.4651e+07	1.8643	0.031142	0.96886	0.062285	0.3041	False
CTSL_gRNA2	CTSL	1.4541e+05/1.0663e+05	1.2687e+05/92785	1.2602e+05	1.0983e+05	-0.19838	7.5207e+08	8.1606e+07	1.7922	0.036552	0.96345	0.073104	0.33709	False
CSF1R_gRNA1	CSF1R	1.3521e+05/87616	1.2102e+05/73000	1.1141e+05	97011	-0.19967	1.1325e+09	6.8426e+07	1.7408	0.040857	0.95914	0.081714	0.34118	False
ASCL1_gRNA2	ASCL1	69024/88457	58109/76938	78741	67523	-0.22172	1.8883e+08	4.1656e+07	1.738	0.041107	0.95889	0.082213	0.34118	False
WASF2_gRNA1	WASF2	2.6539e+05/2.602e+05	2.5436e+05/2.1914e+05	2.628e+05	2.3675e+05	-0.15059	1.3498e+07	2.3346e+08	1.7048	0.044119	0.95588	0.088238	0.34875	False
INPP5D_gRNA1	INPP5D	67058/58070	61015/46051	62564	53533	-0.2249	4.039e+07	2.9983e+07	1.6493	0.049545	0.95045	0.09909	0.37384	False
ASCL1_gRNA3	ASCL1	1.3842e+05/1.2551e+05	1.1751e+05/1.1691e+05	1.3197e+05	1.1721e+05	-0.1711	8.3337e+07	8.7172e+07	1.5807	0.056973	0.94303	0.11395	0.4112	False
ABCA7_gRNA1	ABCA7	83972/98826	67270/93294	91399	80282	-0.1871	1.1033e+08	5.1553e+07	1.5483	0.060775	0.93923	0.12155	0.42036	False
LRRK2_gRNA2	LRRK2	77240/58533	69803/48487	67886	59145	-0.19887	1.7497e+08	3.3695e+07	1.5059	0.066042	0.93396	0.13208	0.43852	False
C5AR1_gRNA1	C5AR1	1.1854e+05/1.2257e+05	92621/1.2277e+05	1.2056e+05	1.077e+05	-0.16275	8.1385e+06	7.6597e+07	1.4695	0.070854	0.92915	0.14171	0.45237	False
NCKAP1L_gRNA2	NCKAP1L	87048/97293	79062/84644	92171	81853	-0.17128	5.2479e+07	5.2177e+07	1.4284	0.076584	0.92342	0.15317	0.47085	False
GBA_gRNA1	GBA	2.205e+05/1.5667e+05	2.1372e+05/1.3118e+05	1.8858e+05	1.7245e+05	-0.12901	2.0372e+09	1.4524e+08	1.3385	0.090363	0.90964	0.18073	0.52191	False
PTK2B_gRNA2	PTK2B	43849/35387	39838/28863	39618	34351	-0.20581	3.5798e+07	1.5602e+07	1.3335	0.091177	0.90882	0.18235	0.52191	False
LRP1_gRNA1	LRP1	1.717e+05/1.8131e+05	1.6631e+05/1.5703e+05	1.7651e+05	1.6167e+05	-0.12667	4.6189e+07	1.3213e+08	1.2908	0.09839	0.90161	0.19678	0.53477	False
CDK2_gRNA2	CDK2	65363/64955	64063/51798	65159	57931	-0.16964	83251	3.1777e+07	1.2823	0.099866	0.90013	0.19973	0.53477	False
ADAM10_gRNA1	ADAM10	99307/94038	94718/80666	96672	87692	-0.14065	1.3881e+07	5.5858e+07	1.2015	0.11477	0.88523	0.22954	0.58698	False
LRP1_gRNA2	LRP1	1.1014e+05/1.2505e+05	1.0872e+05/1.062e+05	1.176e+05	1.0746e+05	-0.13004	1.1115e+08	7.3925e+07	1.179	0.11921	0.88079	0.23841	0.58698	False
TREM2_gRNA2	TREM2	68036/54174	69232/65618	61105	67425	0.14199	9.6076e+07	2.8988e+07	1.1739	0.87978	0.12022	0.24045	0.58698	True
NCKAP1L_gRNA1	NCKAP1L	1.4523e+05/1.273e+05	1.5112e+05/99804	1.3626e+05	1.2546e+05	-0.11912	1.6083e+08	9.1258e+07	1.1304	0.12915	0.87085	0.2583	0.61253	False
ABI3_gRNA3	ABI3	1.3625e+05/1.5665e+05	1.4044e+05/1.3057e+05	1.4645e+05	1.3551e+05	-0.11202	2.082e+08	1.0117e+08	1.0877	0.13836	0.86164	0.27672	0.63799	False
ABCA7_gRNA2	ABCA7	1.4515e+05/1.4486e+05	1.6321e+05/1.472e+05	1.45e+05	1.552e+05	0.09809	42864	9.9742e+07	1.0215	0.84649	0.15351	0.30702	0.66938	True
GBA_gRNA3	GBA	3.0666e+05/3.4662e+05	2.8141e+05/3.3551e+05	3.2664e+05	3.0846e+05	-0.082595	7.9843e+08	3.1863e+08	1.0182	0.1543	0.8457	0.30859	0.66938	False
CTSL_gRNA3	CTSL	2.614e+05/2.0049e+05	2.5581e+05/1.7805e+05	2.3094e+05	2.1693e+05	-0.090295	1.8549e+09	1.9407e+08	1.0058	0.15726	0.84274	0.31453	0.66938	False
ABI3_gRNA1	ABI3	1.0484e+05/1.2345e+05	1.0443e+05/1.0875e+05	1.1415e+05	1.0659e+05	-0.098861	1.7329e+08	7.084e+07	0.89822	0.18454	0.81546	0.36907	0.71611	False
ADAM10_gRNA3	ADAM10	84136/61549	89995/44868	72842	67432	-0.11136	2.5509e+08	3.7267e+07	0.88636	0.18771	0.81229	0.37542	0.71611	False
CXCR4_gRNA3	CXCR4	2.4164e+05/2.3691e+05	2.2082e+05/2.3268e+05	2.3928e+05	2.2675e+05	-0.077586	1.121e+07	2.0416e+08	0.87679	0.1903	0.8097	0.3806	0.71611	False
ABI1_gRNA2	ABI1	1.7026e+05/1.994e+05	1.66e+05/1.8285e+05	1.8483e+05	1.7442e+05	-0.083628	4.2453e+08	1.4113e+08	0.87624	0.19045	0.80955	0.3809	0.71611	False
Intergenic_gRNA5	Intergenic	72576/68344	68344/62234	70460	65289	-0.10997	8.9539e+06	3.5537e+07	0.86746	0.19284	0.80716	0.38569	0.71611	False
PTK2B_gRNA1	PTK2B	1.2852e+05/1.2644e+05	1.2377e+05/1.1559e+05	1.2748e+05	1.1968e+05	-0.091108	2.1663e+06	8.2968e+07	0.85653	0.19585	0.80415	0.3917	0.71611	False
LRRK2_gRNA3	LRRK2	72346/86640	90244/79159	79493	84701	0.091553	1.0216e+08	4.2227e+07	0.80148	0.78857	0.21143	0.42285	0.71611	True
C5AR1_gRNA3	C5AR1	98623/83948	93327/77859	91285	85593	-0.092894	1.0769e+08	5.1462e+07	0.79355	0.21373	0.78627	0.42746	0.71611	False
ABI1_gRNA1	ABI1	95993/1.2117e+05	1.011e+05/1.032e+05	1.0858e+05	1.0215e+05	-0.088016	3.1692e+08	6.5953e+07	0.79131	0.21438	0.78562	0.42876	0.71611	False
CTSB_gRNA3	CTSB	1.8147e+05/1.4242e+05	2.075e+05/1.3315e+05	1.6194e+05	1.7033e+05	0.072814	7.6246e+08	1.1682e+08	0.77564	0.78102	0.21898	0.43796	0.71611	True
GBA_gRNA2	GBA	67487/86473	66020/78121	76980	72071	-0.095067	1.8024e+08	4.0331e+07	0.77302	0.21976	0.78024	0.43951	0.71611	False
LRP1_gRNA3	LRP1	2.3922e+05/2.0278e+05	2.5161e+05/1.6955e+05	2.21e+05	2.1058e+05	-0.069702	6.6394e+08	1.8223e+08	0.77216	0.22001	0.77999	0.44002	0.71611	False
MS4A4A_gRNA3	MS4A4A	92994/78997	87807/74050	85996	80929	-0.087605	9.7949e+07	4.7251e+07	0.73707	0.23054	0.76946	0.46108	0.73595	False
MS4A4A_gRNA1	MS4A4A	1.0971e+05/1.1756e+05	1.2013e+05/1.1817e+05	1.1363e+05	1.1915e+05	0.068404	3.0787e+07	7.0385e+07	0.65768	0.74463	0.25537	0.51075	0.79985	True
MAPT_gRNA1	MAPT	48371/46425	46292/42930	47398	44611	-0.087431	1.8929e+06	2.016e+07	0.62076	0.26738	0.73262	0.53476	0.80208	False
MS4A6A_gRNA2	MS4A6A	97372/86930	90409/85031	92151	87720	-0.071089	5.4515e+07	5.2161e+07	0.61348	0.26978	0.73022	0.53956	0.80208	False
Intergenic_gRNA4	Intergenic	1.4289e+05/1.3343e+05	1.3946e+05/1.2507e+05	1.3816e+05	1.3227e+05	-0.062912	4.481e+07	9.3082e+07	0.61106	0.27058	0.72942	0.54116	0.80208	False
Intergenic_gRNA2	Intergenic	99760/1.1951e+05	1.1593e+05/1.1264e+05	1.0963e+05	1.1429e+05	0.059958	1.9498e+08	6.687e+07	0.56894	0.7153	0.2847	0.5694	0.81999	True
LRRK2_gRNA1	LRRK2	1.0024e+05/80268	1.0162e+05/71001	90256	86312	-0.064464	1.9952e+08	5.0634e+07	0.55429	0.28969	0.71031	0.57938	0.81999	False
Intergenic_gRNA7	Intergenic	3.4595e+05/3.3236e+05	3.8774e+05/3.1071e+05	3.3916e+05	3.4923e+05	0.042213	9.2336e+07	3.3625e+08	0.54918	0.70856	0.29144	0.58288	0.81999	True
CTSB_gRNA2	CTSB	99305/70095	93863/68429	84700	81146	-0.061842	4.2661e+08	4.6236e+07	0.52267	0.3006	0.6994	0.6012	0.82267	False
PLCG2_gRNA2	PLCG2	1.021e+05/76506	1.0633e+05/79470	89304	92901	0.056968	3.2762e+08	4.9872e+07	0.50934	0.69474	0.30526	0.61051	0.82267	True
ABCA7_gRNA3	ABCA7	1.0502e+05/97873	1.1937e+05/90923	1.0145e+05	1.0515e+05	0.051669	2.5545e+07	5.9845e+07	0.47817	0.68374	0.31626	0.63253	0.82267	True
CXCR4_gRNA1	CXCR4	1.0394e+05/1.0586e+05	98736/1.0352e+05	1.049e+05	1.0113e+05	-0.052791	1.8385e+06	6.2777e+07	0.4757	0.31714	0.68286	0.63429	0.82267	False
MS4A4A_gRNA2	MS4A4A	1.0264e+05/80726	1.0592e+05/70848	91684	88385	-0.052868	2.4019e+08	5.1783e+07	0.45845	0.32332	0.67668	0.64663	0.82267	False
Intergenic_gRNA8	Intergenic	2.0209e+05/2.2026e+05	1.883e+05/2.2233e+05	2.1117e+05	2.0532e+05	-0.040577	1.6509e+08	1.7075e+08	0.4482	0.32701	0.67299	0.65401	0.82267	False
ASCL1_gRNA1	ASCL1	1.5815e+05/1.7907e+05	1.7133e+05/1.5598e+05	1.6861e+05	1.6366e+05	-0.042992	2.1884e+08	1.2375e+08	0.445	0.32816	0.67184	0.65632	0.82267	False
CTSB_gRNA1	CTSB	54247/71249	49292/71438	62748	60365	-0.055856	1.4453e+08	3.0109e+07	0.43428	0.33204	0.66796	0.66408	0.82267	False
ABI1_gRNA3	ABI1	1.4817e+05/1.1871e+05	1.4661e+05/1.1331e+05	1.3344e+05	1.2996e+05	-0.038152	4.3388e+08	8.8566e+07	0.37005	0.35567	0.64433	0.71134	0.86826	False
Intergenic_gRNA3	Intergenic	1.0527e+05/1.2514e+05	1.0911e+05/1.2681e+05	1.152e+05	1.1796e+05	0.034132	1.974e+08	7.178e+07	0.32554	0.62761	0.37239	0.74478	0.88899	True
CDK2_gRNA3	CDK2	83902/87125	85970/80847	85514	83409	-0.035956	5.1933e+06	4.6873e+07	0.30745	0.37925	0.62075	0.7585	0.88899	False
MS4A6A_gRNA1	MS4A6A	66198/55868	67715/51071	61033	59393	-0.039298	5.3353e+07	2.894e+07	0.30488	0.38023	0.61977	0.76046	0.88899	False
PTK2B_gRNA3	PTK2B	1.3667e+05/1.4001e+05	1.3817e+05/1.3331e+05	1.3834e+05	1.3574e+05	-0.027367	5.5526e+06	9.3253e+07	0.26919	0.39389	0.60611	0.78778	0.90814	False
ABI3_gRNA2	ABI3	55470/65791	57800/61216	60631	59508	-0.026962	5.3263e+07	2.8667e+07	0.20967	0.41696	0.58304	0.83393	0.91748	False
Intergenic_gRNA1	Intergenic	1.57e+05/1.4301e+05	1.4518e+05/1.5075e+05	1.5001e+05	1.4796e+05	-0.019787	9.7879e+07	1.047e+08	0.19969	0.42086	0.57914	0.84172	0.91748	False
MAPT_gRNA2	MAPT	55037/48805	57394/44888	51921	51141	-0.021842	1.9418e+07	2.2966e+07	0.16279	0.43534	0.56466	0.87068	0.91748	False
ADAM10_gRNA2	ADAM10	31437/31357	34748/26957	31397	30852	-0.025234	3169.3	1.1189e+07	0.16276	0.43536	0.56464	0.87071	0.91748	False
CTSL_gRNA1	CTSL	51662/50522	54071/49537	51092	51804	0.019958	6.4873e+05	2.2444e+07	0.15024	0.55971	0.44029	0.88058	0.91748	True
CHI3L1_gRNA3	CHI3L1	2.8022e+05/2.7972e+05	2.8558e+05/2.6989e+05	2.7997e+05	2.7773e+05	-0.011566	1.2188e+05	2.5558e+08	0.13983	0.4444	0.5556	0.88879	0.91748	False
CHI3L1_gRNA1	CHI3L1	1.4634e+05/1.893e+05	1.4791e+05/1.8473e+05	1.6782e+05	1.6632e+05	-0.012922	9.2291e+08	1.2293e+08	0.13496	0.44632	0.55368	0.89264	0.91748	False
PLCG2_gRNA1	PLCG2	1.3769e+05/1.3239e+05	1.3613e+05/1.3144e+05	1.3504e+05	1.3379e+05	-0.013397	1.4057e+07	9.0086e+07	0.13151	0.44769	0.55231	0.89537	0.91748	False
C5AR1_gRNA2	C5AR1	53961/42796	55506/42259	48379	48883	0.014957	6.2328e+07	2.0759e+07	0.11066	0.54406	0.45594	0.91189	0.92301	True
Intergenic_gRNA6	Intergenic	1.7495e+05/1.7627e+05	1.7647e+05/1.7323e+05	1.7561e+05	1.7485e+05	-0.0062537	8.7987e+05	1.3117e+08	0.066322	0.47356	0.52644	0.94712	0.94712	False
