"","id","Score","FDR","Rank"
"1","VHL",-0.29031,2.6e-05,1
"3","INPP5D",-0.26997,2.6e-05,2
"2","CSF1R",-0.2083,2.6e-05,3
"4","WASF2",-0.19786,2.6e-05,4
"5","NCKAP1L",-0.17128,2.6e-05,5
"6","ASCL1",-0.1711,0.003175,6
"8","CDK2",-0.16964,0.003175,7
"9","LRP1",-0.12667,0.003175,8
"15","ADAM10",-0.11136,0.003175,9
"13","ABI3",-0.098861,0.003175,10
"11","GBA",-0.095067,0.003175,11
"18","C5AR1",-0.092894,0.053751,12
"17","PTK2B",-0.091108,0.053751,13
"12","CTSL",-0.090295,0.003175,14
"16","MAPT",-0.087431,0.003175,15
"21","ABI1",-0.083628,0.053751,16
"7","CXCR4",-0.077586,0.003175,17
"10","MS4A6A",-0.071089,0.003175,18
"20","LRRK2",-0.064464,0.053751,19
"23","CTSB",-0.055856,0.650914,20
"22","MS4A4A",-0.052868,0.387586,21
"14","CHI3L1",-0.012922,0.003175,22
"19","ABCA7",0.051669,2.2e-05,23
"24","PLCG2",0.056968,2.2e-05,24
"25","TREM2",0.63022,2.2e-05,25
