sgRNA	Gene	Rep_1_T0	Rep_1_UN	Rep_1_L20	Rep_1_LM	Rep_1_UM	Rep_1_T20	Rep_2_T0	Rep_2_UN	Rep_2_L20	Rep_2_LM	Rep_2_UM	Rep_2_T20
LRRK2_gRNA2	LRRK2	358000	364044	351051	307256	411848	357520	14212	13664	10500	16121	12728	12006
Intergenic_gRNA3	Intergenic	493751	492766	478441	457569	585655	558860	28273	27676	22448	32800	25674	31400
NCKAP1L_gRNA1	NCKAP1L	690749	738814	660065	618691	763279	774033	28052	28417	22835	33493	26842	24713
CTSB_gRNA2	CTSB	380303	373895	451335	332229	442164	480749	16268	16121	12574	18555	15339	16944
CXCR4_gRNA2	CXCR4	1294776	1278890	1369340	1069587	1590644	1284369	55518	55826	45182	63634	51776	57348
ADAM10_gRNA3	ADAM10	383734	373402	382394	295498	485492	460940	14174	13325	11041	14760	11316	11110
ASCL1_gRNA1	ASCL1	781933	764490	718765	656323	1039292	877513	41387	38776	32122	45707	36306	38624
C5AR1_gRNA1	C5AR1	455412	515095	538756	398115	674504	474388	27438	27019	21988	30892	24635	30400
INPP5D_gRNA1	INPP5D	258809	277855	304776	279742	346248	312511	11766	11950	10417	14115	10920	11403
LRP1_gRNA3	LRP1	1120140	1209967	1087248	928307	1328340	1288682	41640	39972	36376	46663	37280	41983
CSF1R_gRNA2	CSF1R	610541	633404	654821	568478	778631	638925	35971	28836	22588	33001	26522	26978
MS4A4A_gRNA2	MS4A4A	423354	467572	466507	421075	556967	542518	17674	17553	14481	20627	16050	17543
TREM2_gRNA3	TREM2	254041	291418	258554	214652	363675	359502	13257	12936	8842	13031	13434	23314
WASF2_gRNA1	WASF2	1080946	1101865	1206207	935356	1397021	1302769	53906	55335	46676	64799	52011	54263
MS4A4A_gRNA3	MS4A4A	346165	363118	422652	370823	476873	449736	16604	16973	14171	19673	15823	18336
CHI3L1_gRNA3	CHI3L1	1318807	1354738	1273564	1044577	1454206	1462688	62199	60011	50178	69343	56076	66828
CXCR4_gRNA3	CXCR4	951839	985482	1098258	1072969	1237360	1130985	52013	52155	42498	60028	49173	57615
Intergenic_gRNA5	Intergenic	298100	301541	329855	255839	399720	350049	14697	14299	12260	16719	13149	15410
ASCL1_gRNA2	ASCL1	292877	352079	313710	261302	375183	297624	19655	18779	15868	22089	17469	19051
Intergenic_gRNA8	Intergenic	876501	867186	918473	752728	1138934	964428	47638	47610	39511	54632	43721	55053
MAPT_gRNA3	MAPT	528328	567831	544369	434883	594359	497850	25758	24285	20995	28209	21994	26593
INPP5D_gRNA3	INPP5D	428936	426312	453211	327365	511323	435318	18321	18127	16682	22457	16462	15981
CSF1R_gRNA1	CSF1R	574512	573917	614511	530385	740139	619858	24058	19678	15717	23589	18846	18076
ABCA7_gRNA3	ABCA7	544464	566819	477314	447890	531915	611386	22438	21616	17557	25217	20347	22514
GBA_gRNA3	GBA	1212541	1302227	1393735	1195691	1654070	1441354	84412	78839	62178	88100	70212	83077
ABI3_gRNA3	ABI3	710594	730533	619229	525192	834909	719321	34914	35485	28101	40494	31863	32332
CTSB_gRNA3	CTSB	1046673	1070813	824771	803408	1091955	1062789	33242	32104	25548	37902	30509	32971
CTSL_gRNA2	CTSL	561426	645483	660874	496269	775427	649800	23515	23257	19127	26978	21742	22975
LRP1_gRNA1	LRP1	769107	828303	780377	675868	881307	851838	38385	40035	32525	44103	34152	38882
VHL_gRNA2	VHL	1025705	1014157	1011739	789887	1252737	938602	58025	54972	45071	63572	50539	45009
PTK2B_gRNA3	PTK2B	624549	631390	621173	461901	755274	707674	32896	31593	25115	36251	30355	33010
