sgRNA	Gene	Rep_1_T0	Rep_1_UN	Rep_1_L20	Rep_1_LM	Rep_1_UM	Rep_1_T20	Rep_2_T0	Rep_2_UN	Rep_2_L20	Rep_2_LM	Rep_2_UM	Rep_2_T20
LRRK2_gRNA2	LRRK2	79269.99308397472	78194.36154673675	75696.04828073195	78825.67707771907	74778.54821499634	70165.92138730784	64644.779041780545	64197.38542349269	59267.96342102742	65105.30396418858	63826.94498716739	54206.163369559465
Intergenic_gRNA3	Intergenic	109328.59875755756	105843.03755023921	103164.76248602533	117388.06153427382	106336.39268578135	109680.3726407218	128602.71867775552	130029.77451555795	126709.26122621176	132464.11326998234	128747.09189193397	141768.57652874955
NCKAP1L_gRNA1	NCKAP1L	152948.79456078899	158692.60043233994	142327.78743949265	158723.46504833456	138587.2834225107	151909.6515696522	127597.47689839768	133511.20474088055	128893.70902087248	135262.82151681458	134604.24712017184	111577.28763550916
CTSB_gRNA2	CTSB	84208.42508328168	80310.29438891215	97319.97900813316	85232.4311644151	80282.97331281356	94350.5161697999	73996.7116135439	75741.07511798343	70974.79733866655	74935.11041843056	76920.29455988063	76500.85225169212
CXCR4_gRNA2	CXCR4	286695.20828295103	274697.5284265258	295266.5759469065	274399.58688691613	288810.5540075334	252066.83342552918	252529.47106962936	262286.5367865854	255032.8688846534	256988.45682384318	259640.47011750305	258921.79384620156
ADAM10_gRNA3	ADAM10	84968.13275443004	80204.40108963365	82454.44304748374	75809.19469469051	88149.9653512825	90462.85467740455	64471.93203899504	62604.66633255563	62321.67467919655	59608.85097149206	56746.2059612497	50160.79252338877
ASCL1_gRNA1	ASCL1	173139.17179366373	164207.64374324196	154985.08804276388	168377.8505763266	188702.49929940162	172218.3602996774	188253.12906010213	182180.75359933786	181314.81152478504	184589.54954972814	182063.25146952382	174384.37897600073
C5AR1_gRNA1	C5AR1	100839.40248703658	110639.16631208415	116170.3005760816	102135.30225543561	122468.55608187459	93102.12328004642	124804.63322181077	126943.00034816665	124112.75997157628	124758.57887610655	123536.83137640389	137253.6537093626
INPP5D_gRNA1	INPP5D	57306.66938567155	59681.506432103095	65717.91224297427	71767.0364682066	62867.666620564014	61332.575124941155	53518.89038879749	56144.52252713244	58799.46428160406	57003.992646518316	54760.389633867686	51483.664909469146
LRP1_gRNA3	LRP1	248026.50852816607	259893.3015174551	234439.94491150646	238154.59359942898	241184.45818823503	252913.2912990564	189403.9262102267	187799.90413845505	205326.8035622184	188450.39382674347	186947.55728485232	189550.0047263214
CSF1R_gRNA2	CSF1R	135188.77331699166	136051.19540810795	141197.03983534352	145841.45876333604	141374.72022491504	125393.71593864865	163617.88255783057	135479.78674413313	127499.50073849213	133275.85981776487	132999.5470576409	121803.58782142056
MS4A4A_gRNA2	MS4A4A	93740.97388847217	100431.52480780015	100591.47074157151	108025.62675912124	101127.56080802107	106473.13531886182	80392.05071660776	82469.02124843144	81738.9884095141	83302.96537865628	80485.73751131652	79205.29102050488
TREM2_gRNA3	TREM2	56250.91707554755	62594.75352766954	55751.204432337094	55068.37697583302	66031.85768071907	70554.90341961273	60300.8609454605	60777.032921421356	49909.26976844995	52626.21524454695	67367.31450012623	105260.91061118685
WASF2_gRNA1	WASF2	239347.99425740264	236673.67182454618	260090.70849693305	239962.99505528613	253654.7517673083	255677.9683369368	245197.11926725457	259979.67816224883	263465.8533942739	261693.3559689508	260818.9217259242	244993.2569483929
