File	Label	Reads	Mapped	Percentage	TotalsgRNAs	Zerocounts	GiniIndex	NegSelQC	NegSelQCPval	NegSelQCPvalPermutation	NegSelQCPvalPermutationFDR	NegSelQCGene
../PILOT006/PILOT006-T0_S1_merged_R2_001.fastq.gz	Rep_1_T0	68467331	46415258	0.6779	83	0	0.03176	0	1	1	1	0.0
../PILOT006/PILOT006-UN_S2_merged_R2_001.fastq.gz	Rep_1_UN	69719614	48133756	0.6904	83	1	0.0337	0	1	1	1	0.0
../PILOT006/PILOT006-L20_S3_merged_R2_001.fastq.gz	Rep_1_L20	69394302	47646009	0.6866	83	1	0.03352	0	1	1	1	0.0
../PILOT006/PILOT006-LM20_S4_merged_R2_001.fastq.gz	Rep_1_LM	58548849	40433675	0.6906	83	1	0.03402	0	1	1	1	0.0
../PILOT006/PILOT006-UM20_S5_merged_R2_001.fastq.gz	Rep_1_UM	85042060	57492064	0.676	83	1	0.03331	0	1	1	1	0.0
../PILOT006/PILOT006-T20_S6_merged_R2_001.fastq.gz	Rep_1_T20	78319854	52339920	0.6683	83	1	0.033	0	1	1	1	0.0
../PILOT007/fastq/PILOT007_T0_S1_L001_R2_001.fastq.gz	Rep_2_T0	2387479	2262538	0.9477	83	1	0.04027	0	1	1	1	0.0
../PILOT007/fastq/PILOT007_UN_S2_L001_R2_001.fastq.gz	Rep_2_UN	2311578	2206244	0.9544	83	1	0.04034	0	1	1	1	0.0
../PILOT007/fastq/PILOT007_L20_S3_L001_R2_001.fastq.gz	Rep_2_L20	1913380	1808788	0.9453	83	1	0.04135	0	1	1	1	0.0
../PILOT007/fastq/PILOT007_LM_S4_L001_R2_001.fastq.gz	Rep_2_LM	2693293	2555818	0.949	83	1	0.04009	0	1	1	1	0.0
../PILOT007/fastq/PILOT007_UM_S5_L001_R2_001.fastq.gz	Rep_2_UM	2157870	2050829	0.9504	83	0	0.03858	0	1	1	1	0.0
../PILOT007/fastq/PILOT007_T20_S6_L001_R2_001.fastq.gz	Rep_2_T20	2405579	2278746	0.9473	83	1	0.04044	0	1	1	1	0.0
